Tc,IsimSoyisim,Maas,Uyruk,DogumTarihi
1,Bernd Leno,91000,England,1992-03-04
2,Héctor Bellerín,69000,Spain,1995-03-19
3,Kevin De Bruyne,370000,England,1991-06-28
4,Virgil van Dijk,200000,England,1991-07-08
5,Sokratis,115000,Greece,1988-06-09
6,Mesut Özil,125000,England,1988-10-15
7,Mohamed Salah,240000,Egypt,1992-06-15
8,Granit Xhaka,94000,England,1992-09-27
9,Henrikh Mkhitaryan,94000,Armenia,1989-01-21
10,Harry Kane,220000,England,1993-07-28
11,Alisson,155000,Brazil,1992-10-02
12,David de Gea,205000,Spain,1990-11-07
13,N'Golo Kanté,235000,England,1991-03-29
14,Alexandre Lacazette,165000,England,1991-05-28
15,Pierre-Emerick Aubameyang,205000,England,1989-06-18
16,Sergio Agüero,300000,Argentina,1988-06-02
17,Nathan Aké,58000,Netherlands,1995-02-18
18,Paul Pogba,250000,France,1993-03-15
19,Ederson,185000,Brazil,1993-08-17
20,Raheem Sterling,255000,England,1994-12-08
21,Christian Eriksen,205000,Denmark,1992-02-14
22,Ryan Fraser,76000,England,1994-02-24
23,Hugo Lloris,150000,England,1986-12-26
24,Callum Wilson,81000,England,1992-02-27
25,David Silva,265000,Spain,1986-01-08
26,Mathew Ryan,43000,Australia,1992-04-08
27,Sadio Mané,220000,England,1992-04-10
28,Aymeric Laporte,195000,France,1994-05-27
29,Bernardo Silva,210000,Portugal,1994-08-10
30,Heung-min Son,185000,Korea,1992-07-08
31,Fernandinho,200000,Brazil,1985-05-04
32,Jan Vertonghen,155000,England,1987-04-24
33,Tom Heaton,50000,England,1986-04-15
34,Toby Alderweireld,155000,Belgium,1989-03-02
35,Leroy Sané,195000,Germany,1996-01-11
36,Roberto Firmino,170000,Brazil,1991-10-02
37,César Azpilicueta,145000,Spain,1989-08-28
38,Marcos Alonso,115000,Spain,1990-12-28
39,David Luiz,105000,Brazil,1987-04-22
40,Antonio Rüdiger,115000,England,1993-03-03
41,Andreas Christensen,85000,Denmark,1996-04-10
42,Willian,140000,Brazil,1988-08-09
43,Pedro,140000,Spain,1987-07-28
44,Rodri,150000,Spain,1996-06-22
45,Olivier Giroud,140000,England,1986-09-30
46,Fabinho,125000,Brazil,1993-10-23
47,Andrew Robertson,125000,England,1994-03-11
48,Luka Milivojevic,66000,Serbia,1991-04-07
49,Wilfried Zaha,89000,Cote d'Ivoire,1992-11-10
50,Jordan Pickford,78000,England,1994-03-07
51,Michael Keane,80000,England,1993-01-11
52,Jay Rodríguez,225000,England,1989-07-29
53,Gylfi Sigurdsson,120000,Iceland,1989-09-08
54,Kepa,92000,Spain,1994-10-03
55,João Cancelo,150000,Portugal,1994-05-27
56,Dele Alli,115000,England,1996-04-11
57,Kasper Schmeichel,82000,Denmark,1986-11-05
58,Harry Maguire,125000,England,1993-03-05
59,Ricardo Pereira,89000,Portugal,1993-10-06
60,Riyad Mahrez,195000,Algeria,1991-02-21
61,Felipe Anderson,125000,Brazil,1993-04-15
62,João Moutinho,125000,Portugal,1986-09-08
63,Wilfred Ndidi,74000,Nigeria,1996-12-16
64,Jamie Vardy,115000,England,1987-01-11
65,Joe Gomez,73000,"England ",1997-05-23
66,Georginio Wijnaldum,140000,Netherlands,1990-11-11
67,Joel Matip,99000,Cameroon,1991-08-08
68,Trent Alexander-Arnold,78000,England,1998-10-07
69,Alex Oxlade-Chamberlain,90000,England,1993-08-15
70,Jordan Henderson,115000,England,1990-06-17
71,Ilkay Gündogan,180000,Germany,1990-10-24
72,Kyle Walker,165000,England,1990-05-28
73,James Milner,105000,England,1986-01-04
74,Naby Keïta,95000,Guinea,1995-02-10
75,John Stones,140000,England,1994-05-28
76,Nicolás Otamendi,145000,Argentina,1988-02-12
77,Giovani Lo Celso,105000,England,1996-04-09
78,Benjamin Mendy,96000,England,1994-07-17
79,Anthony Martial,140000,France,1995-12-05
80,Nicolas Pépé,97000,England,1995-05-29
81,Marcus Rashford,125000,England,1997-10-31
82,Gabriel Jesus,140000,Brazil,1997-04-03
83,Sergio Romero,85000,Argentina,1987-02-22
84,Davinson Sánchez,93000,Colombia,1996-06-12
85,Luke Shaw,97000,England,1995-07-12
86,Lucas Digne,97000,England,1993-07-20
87,Eric Bailly,105000,England,1994-04-12
88,Victor Lindelöf,97000,Sweden,1994-07-17
89,Nemanja Matic,115000,Serbia,1988-08-01
90,Juan Mata,135000,Spain,1988-04-28
91,Jesse Lingard,135000,England,1992-12-15
92,Sébastien Haller,120000,England,1994-06-22
93,Martin Dubravka,37000,Slovakia,1989-01-15
94,Lucas Moura,130000,Brazil,1992-08-13
95,Jorginho,140000,Italy,1991-12-20
96,Rui Patrício,82000,Portugal,1988-02-15
97,Danny Rose,90000,England,1990-07-02
98,Erik Lamela,94000,Argentina,1992-03-04
99,Harry Winks,82000,England,1996-02-02
100,Moussa Sissoko,105000,England,1989-08-16
101,Mateo Kovacic,125000,Croatia,1994-05-06
102,Lucas Torreira,80000,Uruguay,1996-02-11
103,Rúben Neves,89000,Portugal,1997-03-13
104,Étienne Capoue,68000,England,1988-07-11
105,Abdoulaye Doucouré,73000,England,1993-01-01
106,Gerard Deulofeu,78000,Spain,1994-03-13
107,Lukasz Fabianski,75000,Poland,1985-04-18
108,Manuel Lanzini,88000,England,1993-02-15
109,Diogo Jota,84000,Portugal,1996-12-04
110,Ben Foster,36000,England,1983-04-03
111,Xherdan Shaqiri,120000,England,1991-10-10
112,Tanguy Ndombélé,87000,"France ",1996-12-28
113,Dani Ceballos,82000,Spain,1996-08-07
114,Pablo Fornals,82000,Spain,1996-02-22
115,Kurt Zouma,85000,"France ",1994-10-27
116,Miguel Almirón,52000,Paraguay,1994-02-10
117,Youri Tielemans,76000,England,1997-05-07
118,Ralf Fährmann,43000,England,1988-09-27
119,Roberto Pereyra,78000,Argentina,1991-01-07
120,Dejan Lovren,90000,England,1989-07-05
