Isim,Sehir,Stadyum
"Liverpool FC ",Liverpool,Anfield
"Manchester United ",Manchester,Old Trafford
"Manchester City ",Manchester,Etihad Stadium
"Leicester City ",Leicester,King Power Stadium
"Chelsea FC ",London,Stamford Bridge
"Sheffield United ",Sheffield,Bramall Lane
"Arsenal FC ",London,Emirates Stadium
"Tottenham Hotspur ",London,Tottenham Hotspur Stadium
"Aston Villa ",Birmingham,Villa Park
"Everton FC ",Liverpool,Goodison Park
"Norwich City ",Norwich,Carrow Road
"Southampton FC ",Southampton,St Marys Stadium
"West Ham United ",London,London Stadium
"Newcastle United ",Newcastle,St James Park
"Brighton & Hove Albion ",Brighton,American Express Community Stadium
"Watford FC ",Watford,Vicarage Road Stadium
"Wolverhampton Wanderers ",Wolverhampton,Molineux
"AFC Bournemouth ",Bournemouth,Vitality Stadium
"Burnley FC ",Burnley,Turf Moor
"Crystal Palace ",London,Selhurst Park
